lat,lon,river_name,wse
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
-999999999998.99987793,-999999999999.0000000,Cowlitz River,-999999999999.00000
